room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
14042128,1425,32226394,Shared room,,Philadelphia,,MANTUA,0,0.0,1,1.0,,52.0,,2017-07-10 03:14:38.508837,39.962582,-75.19253,0101000020E6100000EE5F596952CC52C0F0DB10E335FB4340
15956525,1425,103609101,Shared room,,Philadelphia,,EAST_FALLS,0,0.0,1,1.0,,50.0,,2017-07-10 03:14:38.505460,40.023611,-75.18188,0101000020E6100000FAF202ECA3CB52C0B6696CAF05034440
6645083,1425,4266027,Shared room,,Philadelphia,,FISHTOWN,3,4.5,4,1.0,,34.0,,2017-07-10 03:14:36.541158,39.968472,-75.132373,0101000020E6100000E6779ACC78C852C0BD8BF7E3F6FB4340
10730888,1425,4266027,Shared room,,Philadelphia,,OLD_KENSINGTON,24,5.0,4,1.0,,33.0,,2017-07-10 03:14:35.805886,39.972922,-75.136667,0101000020E610000051DCF126BFC852C08AC745B588FC4340
12356330,1425,50308154,Shared room,,Philadelphia,,OLD_CITY,15,4.5,16,1.0,,25.0,,2017-07-10 03:14:35.802902,39.948606,-75.146048,0101000020E61000005BE9B5D958C952C00A65E1EB6BF94340
4881108,1425,4266027,Shared room,,Philadelphia,,FISHTOWN,161,5.0,4,1.0,,33.0,,2017-07-10 03:14:35.799953,39.969383,-75.133848,0101000020E6100000A4A833F790C852C03126FDBD14FC4340
12320044,1425,50308154,Shared room,,Philadelphia,,OLD_CITY,8,4.5,5,1.0,,25.0,,2017-07-10 03:14:35.792650,39.948038,-75.144212,0101000020E610000035ECF7C43AC952C0C0AE264F59F94340
12319078,1425,50308154,Shared room,,Philadelphia,,OLD_CITY,15,5.0,16,1.0,,22.0,,2017-07-10 03:14:35.790094,39.948555,-75.144827,0101000020E6100000FB2477D844C952C088BA0F406AF94340
17124306,1425,65453839,Shared room,,Philadelphia,,SOMERTON,0,0.0,1,1.0,,28.0,,2017-07-10 03:14:35.785588,40.111882,-75.02876,0101000020E6100000B6DB2E34D7C152C06B813D26520E4440
8027671,1425,11492982,Shared room,,Philadelphia,,CEDAR_PARK,1,0.0,1,1.0,,20.0,,2017-07-10 03:14:35.783260,39.947668,-75.224886,0101000020E610000002D53F8864CE52C09DBB5D2F4DF94340
10378777,1425,4266027,Shared room,,Philadelphia,,OLD_KENSINGTON,51,5.0,3,1.0,,33.0,,2017-07-10 03:14:35.780593,39.972189,-75.136611,0101000020E61000008751103CBEC852C0F6436CB070FC4340
17124218,1425,65453839,Shared room,,Philadelphia,,SOMERTON,0,0.0,1,1.0,,25.0,,2017-07-10 03:14:35.776402,40.112504,-75.027399,0101000020E61000005C3CBCE7C0C152C0A855F487660E4440
11928165,1425,59829880,Shared room,,Philadelphia,,CHINATOWN,7,4.0,10,1.0,,28.0,,2017-07-10 03:14:35.773970,39.957358,-75.157648,0101000020E6100000E811A3E716CA52C03048FAB48AFA4340
18878945,1425,8186623,Shared room,,Philadelphia,,RITTENHOUSE,0,0.0,1,1.0,,30.0,,2017-07-10 03:14:35.771623,39.950506,-75.167547,0101000020E6100000BF620D17B9CA52C06D533C2EAAF94340
14417110,1425,31764584,Shared room,,Philadelphia,,EAST_PASSYUNK,2,0.0,1,1.0,,39.0,,2017-07-10 03:14:35.768966,39.926404,-75.167928,0101000020E61000004B051555BFCA52C01971016894F64340
13938804,1425,44474120,Shared room,,Philadelphia,,HARTRANFT,0,0.0,1,1.0,,40.0,,2017-07-10 03:14:35.766031,39.979237,-75.149186,0101000020E610000059C16F438CC952C03E0455A357FD4340
